,split,class_name,video_name,dataset,youtube_id,start_time,end_time
3114,train,using inhaler,367509.mp4,Kinetics,DBTGnCjtXvo,11,21
3115,train,using inhaler,367400.mp4,Kinetics,oDb1uTiSVAw,49,59
3116,train,using inhaler,367642.mp4,Kinetics,ESdu5yUw4q8,12,22
3117,train,using inhaler,367620.mp4,Kinetics,dp3Ls99oVKc,13,23
3118,train,using inhaler,367491.mp4,Kinetics,9271pZoWw0g,25,35
3119,train,using inhaler,367295.mp4,Kinetics,2LIgmRmcNiQ,24,34
3120,train,using inhaler,367279.mp4,Kinetics,Ca0fB-sqtEo,16,26
3121,train,using inhaler,367498.mp4,Kinetics,F6kMwNofmbQ,10,20
3122,train,using inhaler,367499.mp4,Kinetics,1qgu8qR26FU,0,10
3123,train,using inhaler,367741.mp4,Kinetics,sipEA5ciQ6k,60,70
3124,train,using inhaler,367817.mp4,Kinetics,a7FT4_k1TzA,6,16
3125,train,using inhaler,367684.mp4,Kinetics,lBKxlIRe9v4,15,25
3126,train,using inhaler,367797.mp4,Kinetics,VN-1i004B28,288,298
3127,train,using inhaler,367364.mp4,Kinetics,i6NBFDIYAi8,29,39
3128,train,using inhaler,367342.mp4,Kinetics,E5M3vaSoS5Q,15,25
3129,train,using inhaler,367448.mp4,Kinetics,Ly9EzwYCyqc,24,34
3130,train,using inhaler,367820.mp4,Kinetics,U5OA1y8yvw8,2,12
3131,train,using inhaler,367290.mp4,Kinetics,Fs4FCa0OXfU,37,47
3132,train,using inhaler,367707.mp4,Kinetics,7LzaJHvt4cs,10,20
3133,train,using inhaler,367460.mp4,Kinetics,gRHHUEAcIiA,17,27
3134,train,using inhaler,367789.mp4,Kinetics,gH51k66Ggkw,60,70
3135,train,using inhaler,367291.mp4,Kinetics,_uzdn2qSsvE,358,368
3136,train,using inhaler,367763.mp4,Kinetics,P3Ni90a5adw,8,18
3137,train,using inhaler,367527.mp4,Kinetics,2CYDsjmGVIA,36,46
3138,train,using inhaler,367453.mp4,Kinetics,cOwUIjHUEpo,68,78
3139,train,using inhaler,367345.mp4,Kinetics,w3JJT6vZQio,285,295
3140,train,using inhaler,367521.mp4,Kinetics,WmmKxr-MLaI,27,37
3141,train,using inhaler,367613.mp4,Kinetics,B14WUq9VwGc,36,46
3142,train,using inhaler,367591.mp4,Kinetics,quwjEv6WUBo,0,10
3143,train,using inhaler,367812.mp4,Kinetics,UdT1-VYeGVY,69,79
3144,train,using inhaler,367610.mp4,Kinetics,7H2JEOmOBDc,37,47
3145,train,using inhaler,367675.mp4,Kinetics,Tu4Ox9gTEl0,44,54
3146,train,using inhaler,367433.mp4,Kinetics,dllRNIvLGqU,15,25
3147,train,using inhaler,367747.mp4,Kinetics,Wi0-Q_rDdFM,82,92
3148,train,using inhaler,367744.mp4,Kinetics,vFntUV8HSXY,4,14
3149,train,using inhaler,367730.mp4,Kinetics,U2Ay2tUnrOI,35,45
3150,train,using inhaler,367266.mp4,Kinetics,gyW2rVUbFyU,0,10
3151,train,using inhaler,367689.mp4,Kinetics,TiN7rosFTPc,24,34
3152,train,using inhaler,367720.mp4,Kinetics,aIbRYrn-luM,448,458
3153,train,using inhaler,367811.mp4,Kinetics,BFz-_pvFqDI,60,70
3154,train,using inhaler,367735.mp4,Kinetics,LZW_3prh4Hw,73,83
3155,train,using inhaler,367280.mp4,Kinetics,WJofBottO2Q,13,23
3156,train,using inhaler,367350.mp4,Kinetics,88GFCt80aSs,29,39
3157,train,using inhaler,367757.mp4,Kinetics,amMqTFNbhbM,36,46
3158,train,using inhaler,367408.mp4,Kinetics,XfD7HYSAY-s,124,134
3159,train,using inhaler,367321.mp4,Kinetics,UwiOn69xZq0,111,121
3160,train,using inhaler,367481.mp4,Kinetics,Ive7e6jO-W8,37,47
3161,train,using inhaler,367263.mp4,Kinetics,rUvXWeHcZLY,136,146
3162,train,using inhaler,367437.mp4,Kinetics,j75DvCJVblM,49,59
3163,train,using inhaler,367393.mp4,Kinetics,AJ4U2jsOEBg,8,18
3164,train,using inhaler,367483.mp4,Kinetics,B2i7SYceSiU,12,22
3165,train,using inhaler,367688.mp4,Kinetics,op_E0cocZ3g,453,463
3166,train,using inhaler,367325.mp4,Kinetics,uUM3MyD8zF4,36,46
3167,train,using inhaler,367673.mp4,Kinetics,F4UXZ7y2ixo,60,70
3168,train,using inhaler,367451.mp4,Kinetics,ebJ2lFd95wY,64,74
3169,train,using inhaler,367411.mp4,Kinetics,h2ECkiaNxaE,41,51
3170,train,using inhaler,367442.mp4,Kinetics,sAuau6dfqlM,0,10
3171,train,using inhaler,367628.mp4,Kinetics,LBuRAd78EUk,47,57
3172,train,using inhaler,367434.mp4,Kinetics,sgbwQyFNZaA,145,155
3173,train,using inhaler,367791.mp4,Kinetics,LzbNfogoq-w,84,94
3174,train,using inhaler,367637.mp4,Kinetics,FuIw_kS8dQE,12,22
3175,train,using inhaler,367444.mp4,Kinetics,-vH6erKBqQg,62,72
3176,train,using inhaler,367516.mp4,Kinetics,7U8zdd-M1eQ,31,41
3177,train,using inhaler,367725.mp4,Kinetics,CmUo7SHWyro,114,124
3178,train,using inhaler,367323.mp4,Kinetics,7Cf8DKmvsVg,4,14
3179,train,using inhaler,367379.mp4,Kinetics,ISPW1NFuB9A,99,109
3180,train,using inhaler,367443.mp4,Kinetics,X_lHQoypmuU,12,22
3181,train,using inhaler,367541.mp4,Kinetics,CvOGp9L-FB4,39,49
3182,train,using inhaler,367788.mp4,Kinetics,8NMg9aI4VDU,5,15
3183,train,using inhaler,367369.mp4,Kinetics,Al0T2dao84c,1,11
3184,train,using inhaler,367301.mp4,Kinetics,lTskc3yZxm8,25,35
3185,train,using inhaler,367281.mp4,Kinetics,2xrl14KQITw,57,67
3186,train,using inhaler,367589.mp4,Kinetics,b3gvO-r2YK8,45,55
3187,train,using inhaler,367324.mp4,Kinetics,7dJAFDai86k,11,21
3188,train,using inhaler,367385.mp4,Kinetics,_MrtTAo2YkA,54,64
3189,train,using inhaler,367617.mp4,Kinetics,-OlM-nWAY4w,46,56
3190,train,using inhaler,367638.mp4,Kinetics,54S1zXDLEEI,24,34
3191,train,using inhaler,367574.mp4,Kinetics,HNYLWA596i8,9,19
3192,train,using inhaler,367587.mp4,Kinetics,L4nPjxp_S4U,75,85
3193,train,using inhaler,367269.mp4,Kinetics,esmEVr4qROQ,117,127
3194,train,using inhaler,367307.mp4,Kinetics,qUplcdoemFI,535,545
3195,train,using inhaler,367372.mp4,Kinetics,SbmXu3DVQSQ,9,19
3196,train,using inhaler,367648.mp4,Kinetics,d1hrXY_UbXE,18,28
3197,train,using inhaler,367647.mp4,Kinetics,s90ezQqyvwU,0,10
3198,train,using inhaler,367459.mp4,Kinetics,7azQ25DeX6U,20,30
3199,train,using inhaler,367506.mp4,Kinetics,aKCkEWTiMGo,173,183
3200,train,using inhaler,367579.mp4,Kinetics,nZ-Lc9u0r54,125,135
3201,train,using inhaler,367649.mp4,Kinetics,7kqXNqfPBNs,20,30
3202,train,using inhaler,367745.mp4,Kinetics,8-vtsaL_qdg,6,16
3203,train,using inhaler,367690.mp4,Kinetics,tOUgy9S8orM,73,83
3204,train,using inhaler,367348.mp4,Kinetics,-kEkt_8XILA,153,163
3205,train,using inhaler,367278.mp4,Kinetics,RiDO28k8r60,14,24
3206,train,using inhaler,367721.mp4,Kinetics,lWN8725BCno,92,102
3207,train,using inhaler,367777.mp4,Kinetics,h4wPRXO8WJE,0,10
3208,train,using inhaler,367467.mp4,Kinetics,faDfuZ53YZA,123,133
3209,train,using inhaler,367519.mp4,Kinetics,S8aM6LUMGOM,70,80
3210,train,using inhaler,367414.mp4,Kinetics,1l3f7JGKRY4,37,47
3211,train,using inhaler,367265.mp4,Kinetics,5lmKJgE0e8E,73,83
3212,train,using inhaler,367575.mp4,Kinetics,LlIyDaOONv0,38,48
3213,train,using inhaler,367700.mp4,Kinetics,2QvztXgb62c,1,11
3214,train,using inhaler,367608.mp4,Kinetics,Nq_43n-bn_o,30,40
3215,train,using inhaler,367537.mp4,Kinetics,ROf3iBsQwtw,103,113
3216,train,using inhaler,367749.mp4,Kinetics,17CXH1ehgCQ,41,51
3217,train,using inhaler,367661.mp4,Kinetics,edxI9gq210w,31,41
3218,train,using inhaler,367807.mp4,Kinetics,LSx-PlB0qRY,86,96
3219,train,using inhaler,367694.mp4,Kinetics,a8M3gWn2F8A,28,38
3220,train,using inhaler,367405.mp4,Kinetics,I_2ThiO09Sk,54,64
3221,train,using inhaler,367643.mp4,Kinetics,QvGD2TitGA0,11,21
3222,train,using inhaler,367636.mp4,Kinetics,QjXNxQ6yEuI,15,25
3223,train,using inhaler,367612.mp4,Kinetics,OWyFwLgmgRU,12,22
3224,train,using inhaler,367286.mp4,Kinetics,Qxa4NxH36D4,82,92
3225,train,using inhaler,367376.mp4,Kinetics,xrOTmX1Un5g,52,62
3226,train,using inhaler,367461.mp4,Kinetics,fUocAJsto2c,70,80
3227,train,using inhaler,367466.mp4,Kinetics,FVJYKOcOMUk,57,67
3228,train,using inhaler,367773.mp4,Kinetics,SPt2fnKPNxI,5,15
3229,train,using inhaler,367432.mp4,Kinetics,gXO_nNUAha4,36,46
3230,train,using inhaler,367388.mp4,Kinetics,hzE7s3Rhjwc,272,282
3231,train,using inhaler,367606.mp4,Kinetics,VvKi7OEKQYk,24,34
3232,train,using inhaler,367415.mp4,Kinetics,fyfp9skrXK8,69,79
3233,train,using inhaler,367753.mp4,Kinetics,FfvguAP3ysY,228,238
3234,train,using inhaler,367662.mp4,Kinetics,YWNcPReibZA,50,60
3235,train,using inhaler,367337.mp4,Kinetics,knYmrd1snYY,0,10
3236,train,using inhaler,367532.mp4,Kinetics,A019shh2sHU,77,87
3237,train,using inhaler,367727.mp4,Kinetics,z-Rvu43Sm1U,37,47
3238,train,using inhaler,367375.mp4,Kinetics,lXmDcuvLDCM,67,77
3239,train,using inhaler,367446.mp4,Kinetics,NIistTSLy2k,30,40
3240,train,using inhaler,367748.mp4,Kinetics,zWCcZVG7DkM,93,103
3241,train,using inhaler,367767.mp4,Kinetics,dOmxlKcLTO0,26,36
3242,train,using inhaler,367558.mp4,Kinetics,PtqV_HfVU4Q,18,28
3243,train,using inhaler,367445.mp4,Kinetics,CgL26jhyl_A,23,33
3244,train,using inhaler,367304.mp4,Kinetics,Lrt1nJ3tVFI,4,14
3245,train,using inhaler,367723.mp4,Kinetics,mM9VGWZzPHM,43,53
3246,train,using inhaler,367496.mp4,Kinetics,MYrYqn9EPxA,26,36
3247,train,using inhaler,367780.mp4,Kinetics,ngfrC1jHwR8,64,74
3248,train,using inhaler,367728.mp4,Kinetics,eUp8horUPzU,98,108
3249,train,using inhaler,367569.mp4,Kinetics,O_Q6AviIask,48,58
3250,train,using inhaler,367262.mp4,Kinetics,q_Nrzgj6mPE,29,39
3251,train,using inhaler,367318.mp4,Kinetics,7aFgOc69E60,59,69
3252,train,using inhaler,367381.mp4,Kinetics,cR7OAxKmg5E,66,76
3253,train,using inhaler,367294.mp4,Kinetics,hrTK3rGIu3c,29,39
3254,train,using inhaler,367332.mp4,Kinetics,VOYehstx7EM,24,34
3255,train,using inhaler,367310.mp4,Kinetics,r5epa1oSE1c,31,41
3256,train,using inhaler,367428.mp4,Kinetics,ZaSKBxkevv8,30,40
3257,train,using inhaler,367669.mp4,Kinetics,wU8S7qkg_a0,524,534
3258,train,using inhaler,367289.mp4,Kinetics,8Chbsx7-dnE,80,90
3259,train,using inhaler,367559.mp4,Kinetics,N0cpRmWZeEI,29,39
3260,train,using inhaler,367353.mp4,Kinetics,qjpgMFuILUQ,175,185
3261,train,using inhaler,367603.mp4,Kinetics,g0fdNO5rE_I,120,130
3262,train,using inhaler,367639.mp4,Kinetics,23IaMpOfpGI,42,52
3263,train,using inhaler,367563.mp4,Kinetics,8G2iCSTeUYI,0,10
3264,train,using inhaler,367705.mp4,Kinetics,BlEc3pGyAhs,20,30
3265,train,using inhaler,367697.mp4,Kinetics,MLWqSamj4cw,87,97
3266,train,using inhaler,367494.mp4,Kinetics,Rp3YCRWa0xs,9,19
3267,train,using inhaler,367423.mp4,Kinetics,J89ET4eSni4,48,58
3268,train,using inhaler,367580.mp4,Kinetics,hMT-u8FXblw,24,34
3269,train,using inhaler,367644.mp4,Kinetics,uKR6TkWnyOg,38,48
3270,train,using inhaler,367796.mp4,Kinetics,cUxqHPGEq60,74,84
3271,train,using inhaler,367782.mp4,Kinetics,vKhh_I7xqpo,35,45
3272,train,using inhaler,367487.mp4,Kinetics,-yZRl-nxyFY,0,10
3273,train,using inhaler,367357.mp4,Kinetics,pXgyNN9YQUM,16,26
3274,train,using inhaler,367368.mp4,Kinetics,ufZe7akDebo,23,33
3275,train,using inhaler,367436.mp4,Kinetics,8ebQo4DFuuk,14,24
3276,train,using inhaler,367676.mp4,Kinetics,W4suTtdzNXQ,44,54
3277,train,using inhaler,367656.mp4,Kinetics,3PQKOoIJ7fE,0,10
3278,train,using inhaler,367312.mp4,Kinetics,UPsfbUVBTc0,29,39
3279,train,using inhaler,367447.mp4,Kinetics,Wj5Wm6PQgDk,124,134
3280,train,using inhaler,367572.mp4,Kinetics,jZOPOH50xRU,1,11
3281,train,using inhaler,367625.mp4,Kinetics,3YOmnL5viHQ,90,100
3282,train,using inhaler,367390.mp4,Kinetics,eAyw20tQbsE,10,20
3283,train,using inhaler,367582.mp4,Kinetics,h0ef-Y4MQ3E,0,10
3284,train,using inhaler,367407.mp4,Kinetics,bEU60epxaRc,0,10
3285,train,using inhaler,367552.mp4,Kinetics,A8z7fUpQnWw,362,372
3286,train,using inhaler,367726.mp4,Kinetics,AIMhsoie9Yo,3,13
3287,train,using inhaler,367578.mp4,Kinetics,Op8OJqCqSWk,5,15
3288,train,using inhaler,367626.mp4,Kinetics,mUgZh8yzx0s,20,30
3289,train,using inhaler,367510.mp4,Kinetics,Ewie9OVIDKQ,6,16
3290,train,using inhaler,367340.mp4,Kinetics,7ySi1I9H0k4,68,78
3291,train,using inhaler,367654.mp4,Kinetics,jy-j80J3pC4,35,45
3292,train,using inhaler,367300.mp4,Kinetics,akx3YObf4m4,37,47
3293,train,using inhaler,367570.mp4,Kinetics,EIfOSv80_2Y,367,377
3294,train,using inhaler,367814.mp4,Kinetics,e5CrvJavpRM,7,17
3295,train,using inhaler,367282.mp4,Kinetics,RPs3IV9WbQE,2,12
3296,train,using inhaler,367651.mp4,Kinetics,i6IKpE_f_zw,21,31
3297,train,using inhaler,367504.mp4,Kinetics,A_ctypTI-qI,21,31
3298,train,using inhaler,367503.mp4,Kinetics,Bal5q2aJiu8,73,83
3299,train,using inhaler,367341.mp4,Kinetics,QB2Uo47W2r4,0,10
3300,train,using inhaler,367264.mp4,Kinetics,ON0pEuROzWE,17,27
3301,train,using inhaler,367501.mp4,Kinetics,s3WiPWgST9E,16,26
3302,train,using inhaler,367334.mp4,Kinetics,ZmXpil-r5rg,71,81
3303,train,using inhaler,367732.mp4,Kinetics,ZiXKUbNpAvg,45,55
3304,train,using inhaler,367627.mp4,Kinetics,doppxjlq40w,7,17
3305,train,using inhaler,367804.mp4,Kinetics,fK97xhZVTu0,37,47
3306,train,using inhaler,367311.mp4,Kinetics,E_0ojs6tRvI,198,208
3307,train,using inhaler,367605.mp4,Kinetics,OTu_RBLfjXQ,10,20
3308,train,using inhaler,367822.mp4,Kinetics,70oK7xxWtHo,158,168
3309,train,using inhaler,367632.mp4,Kinetics,axKS39B5V28,0,10
3310,train,using inhaler,367478.mp4,Kinetics,SXrAOM44WB0,16,26
3311,train,using inhaler,367685.mp4,Kinetics,C-EOMuQwxLQ,28,38
